content_id,channel,primary_title_zh,selected_hook_zh,claim_ids,available_figure_keys,freshness_rule,mandatory_caveat,prohibited_wording,causal_status,deployment_status,content_basis,visual_variant,layout_plan,source_placement,caveat_placement,platform_status
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,DOUYIN_TIKTOK_SHORT,第一次降息之后，市场就已经见底了吗？历史数据不支持这么简单的结论,第一次降息 = 市场见底？把历史路径拆开看，结论没有这么简单。,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,XIAOHONGSHU_CAROUSEL,第一次降息之后，市场就已经见底了吗？历史数据不支持这么简单的结论,第一次降息 = 市场见底？把历史路径拆开看，结论没有这么简单。,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,WECHAT_LONGFORM,第一次降息之后，市场就已经见底了吗？历史数据不支持这么简单的结论,第一次降息 = 市场见底？把历史路径拆开看，结论没有这么简单。,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,PANDAAI_EXPLANATION,第一次降息之后，市场就已经见底了吗？历史数据不支持这么简单的结论,第一次降息 = 市场见底？把历史路径拆开看，结论没有这么简单。,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-DXY-FIRST_CUT|FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-WTI-FIRST_CUT|FIG-RECOVERY-FIRSTCUT-VS-PAUSE|FIG-GUARD-019|FIG-GUARD-020|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
CNT-02-SAME-LABEL-DIFFERENT-PATHS,DOUYIN_TIKTOK_SHORT,同样叫“第一次降息”，为什么历史上的市场路径差这么多？,同一个FIRST_CUT标签，2001、2007、2019、2024走出了完全不同的资产路径。,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-02-SAME-LABEL-DIFFERENT-PATHS,XIAOHONGSHU_CAROUSEL,同样叫“第一次降息”，为什么历史上的市场路径差这么多？,同一个FIRST_CUT标签，2001、2007、2019、2024走出了完全不同的资产路径。,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
CNT-02-SAME-LABEL-DIFFERENT-PATHS,WECHAT_LONGFORM,同样叫“第一次降息”，为什么历史上的市场路径差这么多？,同一个FIRST_CUT标签，2001、2007、2019、2024走出了完全不同的资产路径。,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-02-SAME-LABEL-DIFFERENT-PATHS,PANDAAI_EXPLANATION,同样叫“第一次降息”，为什么历史上的市场路径差这么多？,同一个FIRST_CUT标签，2001、2007、2019、2024走出了完全不同的资产路径。,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
CNT-03-GOLD-VS-EQUITIES,DOUYIN_TIKTOK_SHORT,降息周期里，黄金和美股会一起走吗？历史上并不总是如此,首降后，黄金历史+12个月中位数+4.1%，标普500是+11.0%，但它们的路径风险完全不同。,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-03-GOLD-VS-EQUITIES,XIAOHONGSHU_CAROUSEL,降息周期里，黄金和美股会一起走吗？历史上并不总是如此,首降后，黄金历史+12个月中位数+4.1%，标普500是+11.0%，但它们的路径风险完全不同。,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
CNT-03-GOLD-VS-EQUITIES,WECHAT_LONGFORM,降息周期里，黄金和美股会一起走吗？历史上并不总是如此,首降后，黄金历史+12个月中位数+4.1%，标普500是+11.0%，但它们的路径风险完全不同。,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 long-form outline,SVG_RESEARCH|PNG_16_9,question -> evidence framework -> figures/cases -> limitations -> source appendix,inline figure provenance + appendix,method/limitations section + conclusion,CANONICAL_LONGFORM_INPUTS_READY
CNT-03-GOLD-VS-EQUITIES,PANDAAI_EXPLANATION,降息周期里，黄金和美股会一起走吗？历史上并不总是如此,首降后，黄金历史+12个月中位数+4.1%，标普500是+11.0%，但它们的路径风险完全不同。,CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,FIG-PHASE-GOLD-FIRST_CUT|FIG-PHASE-SP500-FIRST_CUT|FIG-PHASE-NASDAQ-FIRST_CUT|FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 machine-readable content object + CLAIM_ID/FIGURE_KEY retrieval,SVG_RESEARCH|PNG_1_1,answer -> evidence claims -> optional figure refs -> freshness/uncertainty -> boundary,machine-readable claim/source metadata,response evidence-boundary field,CANONICAL_AGENT_INPUTS_READY
CNT-04-HINDSIGHT-TRAPS,DOUYIN_TIKTOK_SHORT,研究历史周期最容易犯的错：把后来才知道的事，假装成当时已经知道,2001年1月第一次降息时，后来被NBER认定的衰退起点还没有发生，更没有被官方确认。,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,REVERIFY_BEFORE_CURRENT_USE,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 60-90 second script,PNG_16_9_AS_EVIDENCE_INSERT,9:16 video composition external to 027; insert 16:9 evidence panels without cropping away figure footer,caption/pinned comment or closing source card,closing card + caption,SCRIPT_AND_EVIDENCE_READY__9X16_COMPOSITE_NOT_RENDERED
CNT-04-HINDSIGHT-TRAPS,XIAOHONGSHU_CAROUSEL,研究历史周期最容易犯的错：把后来才知道的事，假装成当时已经知道,2001年1月第一次降息时，后来被NBER认定的衰退起点还没有发生，更没有被官方确认。,CLM-CTX-B04_CTX_02|CLM-CTX-B04_CTX_03|CLM-CTX-B05_CTX_03|CLM-CTX-B06_CTX_02|CLM-CTX-B06_CTX_03|CLM-CTX-B07_CTX_02,FIG-CASE-B04|FIG-CASE-B05|FIG-CASE-B06|FIG-CASE-B07,REVERIFY_BEFORE_CURRENT_USE,历史研究/教育内容；不构成当前市场预测、资产排序、底部时间判断或投资建议。,不得改写为必涨/必跌、确定性底部、最像当前的历史周期、最佳资产或因果性Fed结论。,NONE,NOT_DEPLOYABLE,026 title/hooks + long-form evidence order,PNG_1_1,5-9 cards: question cover -> 3-6 evidence cards -> boundary/source card,final card + post body,final card,CANONICAL_CAROUSEL_INPUTS_READY
