claim_id,mechanism,status,claim_zh,evidence_text,boundary,source_type,causal_status,oos_status,deployment_status
CLM-GOLD-033-01,INFLATION_LEVEL,SUPPORTED_DESCRIPTIVE,Higher inflation level at FIRST_HIKE was associated with worse subsequent Gold in this sample; this contradicts a simple high-inflation-is-bullish rule.,HIGH median Gold 12M -11.8% vs LOW_OR_MODERATE +6.5%; diff -18.3%.,"Event-level descriptive association; macro values are current-vintage/release-lag aware, not strict ALFRED PIT.",REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-02,INFLATION_DIRECTION,SUPPORTED_DESCRIPTIVE,Inflation direction and inflation level are different states: rising inflation was associated with better Gold than falling/flat even though HIGH inflation level was associated with worse Gold.,RISING median Gold 12M +3.1% vs FALLING_OR_FLAT -11.8%; diff +14.8%.,"Descriptive heterogeneity, not a causal inflation beta.",REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-03,GROWTH_STATE,SUPPORTED_DESCRIPTIVE,Weak-growth FIRST_HIKE states were associated with somewhat stronger Gold outcomes than strong-growth states.,STRONG median Gold 12M -3.5% vs WEAK +4.8%; diff -8.3%.,Small historical event set; no recession forecast.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-04,ENERGY_DIRECTION,SUPPORTED_DESCRIPTIVE,Rising energy was associated with better subsequent Gold in the supported event contrast.,RISING energy median Gold 12M +3.6% vs FALLING_OR_FLAT -2.6%; diff +6.2%.,Energy direction is not identified as the causal driver.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-05,USD_DIRECTION_EVENT,SECONDARY_DIAGNOSTIC,The event-level USD diagnostic is counterintuitive relative to the common inverse-USD story and is retained as evidence of confounding/era dependence rather than deleted.,USD RISING median Gold 12M +3.6% vs FALLING_OR_FLAT -11.8%; diff +15.4%.,USD bridge diagnostic; not promoted to primary mechanism evidence.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-06,USD_6M_RET_MONTHLY,SECONDARY_DIAGNOSTIC,USD remains a mechanism candidate but the positive sign does not survive secondary-family multiplicity control and should not be called a confirmed driver.,Within-cycle beta per 1SD = +0.0183 Gold forward-6M return; broad exact p=0.03125; LOO sign stable=True.,Hypothesis-generating secondary diagnostic; source-era restrictions reduce precision.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-07,REAL_RATE_PROXY,SECONDARY_DIAGNOSTIC,This public design does not establish the textbook inverse real-rate/Gold relation; the proxy estimate is positive and statistically weak in this secondary diagnostic.,Within-cycle beta per 1SD = +0.0180; broad exact p=0.26562; LOO sign stable=True.,"Proxy-based association, not a real-yield causal estimate.",REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-08,DFII10_REAL_YIELD,INSUFFICIENT_SUPPORT,Actual 10Y TIPS real-yield history is too short in this Fed-cycle design to support a stable Gold mechanism claim.,Within-cycle beta per 1SD = +0.0400; status=INSUFFICIENT_SUPPORT.,Do not infer absence of a global real-yield relationship; this design is under-supported.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-09,NFCI_FINANCIAL_CONDITIONS,NO_STABLE_ASSOCIATION,NFCI does not show a stable Gold forward-return association in the monthly secondary diagnostic.,Within-cycle beta per 1SD = -0.0067; broad exact p=0.59375; LOO sign stable=False.,No signal claim; financial stress may matter conditionally through other channels.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-10,STRESS_TIMING_BAA,SUPPORTED_DESCRIPTIVE,Gold often reaches its trough before credit-stress maxima rather than waiting for the stress peak.,Gold trough median M5 vs Baa stress peak M7; lead median -3m; near-2m share 14.3%.,Ex-post timing description; not a real-time Gold-entry rule.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-11,STRESS_TIMING_VIX,SUPPORTED_DESCRIPTIVE,Gold timing differs from U.S. equities: its trough can precede later VIX stress maxima by several months.,Gold trough median M4 vs VIX stress peak M8; lead median -4m; near-2m share 40.0%.,"Supports timing heterogeneity, not a safe-haven timing signal.",REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-12,STRESS_TIMING_COPPER,SUPPORTED_DESCRIPTIVE,"Copper/Gold timing is closer in the supported sample than Baa/VIX timing, but still cannot be used as a deterministic signal.",Gold trough median M4 vs copper stress peak M9; median lead +0m; near-2m share 60.0%.,Descriptive stress alignment only.,REPOSITORY_RESULT,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-GOLD-033-LIT-01,SAFE_HAVEN,LITERATURE_CONTEXT,Defines hedge as average non/negative correlation and safe haven as non/negative correlation in market stress; reports Gold safe-haven behavior in extreme stock conditions and notes the effect can be short-lived.,"Is Gold a Hedge or a Safe Haven? An Analysis of Stocks, Bonds and Gold",External literature context; does not overwrite repository evidence.,EXTERNAL_LITERATURE,LITERATURE_DEPENDENT,NOT_APPLICABLE,NOT_DEPLOYABLE
CLM-GOLD-033-LIT-02,SAFE_HAVEN_HETEROGENEITY,LITERATURE_CONTEXT,"Finds hedge/safe-haven properties differ across developed and emerging markets, so safe-haven behavior is not universal across countries.",Is gold a safe haven? International evidence,External literature context; does not overwrite repository evidence.,EXTERNAL_LITERATURE,LITERATURE_DEPENDENT,NOT_APPLICABLE,NOT_DEPLOYABLE
CLM-GOLD-033-LIT-03,INFLATION_HEDGE,LITERATURE_CONTEXT,Argues Gold is an unreliable inflation hedge over practical investment horizons even if very long-run purchasing-power arguments can differ.,The Golden Dilemma,External literature context; does not overwrite repository evidence.,EXTERNAL_LITERATURE,LITERATURE_DEPENDENT,NOT_APPLICABLE,NOT_DEPLOYABLE
CLM-GOLD-033-LIT-04,MULTI_DRIVER,LITERATURE_CONTEXT,Shows commonly attributed Gold properties can change between simple and multiple-regression settings; highlights USD and commodity-price channels.,Explanatory mining for gold: Contrasting evidence from simple and multiple regressions,External literature context; does not overwrite repository evidence.,EXTERNAL_LITERATURE,LITERATURE_DEPENDENT,NOT_APPLICABLE,NOT_DEPLOYABLE
CLM-GOLD-033-LIT-05,REAL_RATE_REGIME,LITERATURE_CONTEXT,"Reports a regime-dependent real-rate/Gold relationship and a positive association in its G7 MS-VECM results, illustrating that the sign need not be universally inverse.",Do gold prices respond to real interest rates? Evidence from the Bayesian Markov Switching VECM model,External literature context; does not overwrite repository evidence.,EXTERNAL_LITERATURE,LITERATURE_DEPENDENT,NOT_APPLICABLE,NOT_DEPLOYABLE
