content_id,shot_no,start_sec,end_sec,role,voiceover_zh,onscreen_text_zh,figure_key,claim_ids,freshness_rule,subtitle_text_zh,source_caveat_action,canvas,final_mp4_rendered
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,1,0,7,HOOK,第一次降息，就等于市场已经见底了吗？历史路径并不支持这么简单的结论。,首降 = 见底？先看路径,,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,第一次降息，就等于市场已经见底了吗？历史路径并不支持这么简单的结论。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,2,7,18,EVIDENCE,首降后，标普500历史+12个月终点收益中位数是+11.0%，但12个月最大回撤中位数仍有14.0%。,S&P 500：+12M +11.0% / MDD 14.0%,FIG-PHASE-SP500-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,首降后，标普500历史+12个月终点收益中位数是+11.0%，但12个月最大回撤中位数仍有14.0%。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,3,18,29,EVIDENCE,纳指的+12个月中位数是+6.0%，最大回撤中位数17.5%，低点中位在第8个月。,Nasdaq：+12M +6.0% / MDD 17.5%,FIG-PHASE-NASDAQ-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,纳指的+12个月中位数是+6.0%，最大回撤中位数17.5%，低点中位在第8个月。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,4,29,40,EVIDENCE,WTI的路径又不同：+12个月中位数-16.9%，最大回撤中位数22.2%。,WTI：+12M -16.9% / MDD 22.2%,FIG-PHASE-WTI-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,WTI的路径又不同：+12个月中位数-16.9%，最大回撤中位数22.2%。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,5,40,51,SYNTHESIS,从恢复时钟看，五个完整支持资产里，首降相对暂停阶段是3个更慢、2个相同、0个更快。,Recovery Clock：3慢 / 2同 / 0快,FIG-RECOVERY-FIRSTCUT-VS-PAUSE,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,从恢复时钟看，五个完整支持资产里，首降相对暂停阶段是3个更慢、2个相同、0个更快。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,6,51,62,METHOD,而019和020两轮事前状态检验，都没有验证出稳定的见底计时规则。,简单状态变量 ≠ 已验证底部计时器,FIG-GUARD-020,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,而019和020两轮事前状态检验，都没有验证出稳定的见底计时规则。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,7,62,72,BOUNDARY,所以第一次降息是政策阶段标签，不是市场底部时间戳。以上是历史描述，不是对当前市场底部或未来收益的预测。,历史描述 ≠ 当前预测,,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,所以第一次降息是政策阶段标签，不是市场底部时间戳。以上是历史描述，不是对当前市场底部或未来收益的预测。,closing card + caption,9:16_PRODUCTION_PLAN_ONLY,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,1,0,7,HOOK,同样叫第一次降息，历史上的市场路径可以完全不同。,同一个FIRST_CUT，不同路径,,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,同样叫第一次降息，历史上的市场路径可以完全不同。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,2,7,18,EVIDENCE,1995案例里，标普500首降后+12个月是+19.4%。,1995：S&P 500 +19.4%,FIG-CASE-B03,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,1995案例里，标普500首降后+12个月是+19.4%。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,3,18,29,EVIDENCE,2001案例里，纳指+12个月是-25.6%，最大回撤40.8%。,2001：Nasdaq -25.6% / MDD 40.8%,FIG-CASE-B04,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,2001案例里，纳指+12个月是-25.6%，最大回撤40.8%。,retain figure footer when evidence figure shown,9:16_PRODUCTION_PLAN_ONLY,False
