content_id,card_no,role,headline_zh,body_zh,figure_key,claim_ids,freshness_rule,source_boundary_required
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,1,COVER,第一次降息 = 市场见底？,先把终点收益、途中回撤和恢复时间拆开看。,,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,2,EVIDENCE,标普500：+12个月中位数+11.0%,但12个月最大回撤中位数仍有14.0%,FIG-PHASE-SP500-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,3,EVIDENCE,纳指：+12个月+6.0%,最大回撤中位数17.5%，低点中位第8个月,FIG-PHASE-NASDAQ-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,4,EVIDENCE,WTI：+12个月-16.9%,最大回撤中位数22.2%,FIG-PHASE-WTI-FIRST_CUT,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,5,SYNTHESIS,恢复时钟更关键,FIRST_CUT相对PAUSE：3个更慢、2个相同、0个更快。,FIG-RECOVERY-FIRSTCUT-VS-PAUSE,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,6,METHOD,简单状态也没给出稳定底部时钟,019/020没有验证出稳健的事前底部计时规则。,FIG-GUARD-020,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-01-FIRST-CUT-NOT-THE-BOTTOM,7,SOURCE_BOUNDARY,结论边界,FIRST_CUT是政策阶段标签，不是市场底部时间戳。历史研究/教育内容，不是当前预测或投资建议。,,CLM-PHASE-DXY-FIRST_CUT|CLM-PHASE-GOLD-FIRST_CUT|CLM-PHASE-NASDAQ-FIRST_CUT|CLM-PHASE-SP500-FIRST_CUT|CLM-PHASE-WTI-FIRST_CUT|CLM-SYNTH-017-FIRSTCUT-RECOVERY|CLM-GUARD-019|CLM-GUARD-020|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,True
CNT-02-SAME-LABEL-DIFFERENT-PATHS,1,COVER,同样叫“第一次降息”,为什么1995、2001、2007、2019、2024走得完全不同？,,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,2,EVIDENCE,1995：非衰退式案例,把1994–95作为一条独立历史路径看，而不是“软着陆模板”。,FIG-CASE-B03,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
CNT-02-SAME-LABEL-DIFFERENT-PATHS,3,EVIDENCE,2001：科技股路径很弱,Nasdaq +12个月-25.6%，MDD 40.8%。,FIG-CASE-B04,CLM-CASE-B03|CLM-CASE-B04|CLM-CASE-B05|CLM-CASE-B06|CLM-CASE-B07,STATIC_UNLESS_UPSTREAM_REBUILT,False
