date,week,slot,slot_type,content_id,release_candidate_id,platform,asset,freshness_rule,preflight_required,publication_status
2026-09-28,W1,W1-A,PRIMARY,CNT-02-SAME-LABEL-DIFFERENT-PATHS,RC-CNT-02-SAME-LABEL-DIFFERENT-PATHS,DOUYIN_TIKTOK,short_video,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-09-30,W1,W1-A-XHS,REPURPOSE,CNT-02-SAME-LABEL-DIFFERENT-PATHS,RC-CNT-02-SAME-LABEL-DIFFERENT-PATHS,XIAOHONGSHU,carousel,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-02,W1,W1-A-LONG,REPURPOSE,CNT-02-SAME-LABEL-DIFFERENT-PATHS,RC-CNT-02-SAME-LABEL-DIFFERENT-PATHS,WECHAT_LONGFORM_OR_PANDAAI,deep_article_or_explanation,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-01,W1,W1-B,PRIMARY,CNT-04-HINDSIGHT-TRAPS,RC-CNT-04-HINDSIGHT-TRAPS,DOUYIN_TIKTOK,short_video,REVERIFY_BEFORE_CURRENT_USE,True,PLANNED_NOT_PUBLISHED
2026-10-03,W1,W1-B-XHS,REPURPOSE,CNT-04-HINDSIGHT-TRAPS,RC-CNT-04-HINDSIGHT-TRAPS,XIAOHONGSHU,carousel,REVERIFY_BEFORE_CURRENT_USE,True,PLANNED_NOT_PUBLISHED
2026-10-04,W1,W1-B-LONG,REPURPOSE,CNT-04-HINDSIGHT-TRAPS,RC-CNT-04-HINDSIGHT-TRAPS,WECHAT_LONGFORM_OR_PANDAAI,deep_article_or_explanation,REVERIFY_BEFORE_CURRENT_USE,True,PLANNED_NOT_PUBLISHED
2026-10-05,W2,W2-A,PRIMARY,CNT-01-FIRST-CUT-NOT-THE-BOTTOM,RC-CNT-01-FIRST-CUT-NOT-THE-BOTTOM,DOUYIN_TIKTOK,short_video,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-07,W2,W2-A-XHS,REPURPOSE,CNT-01-FIRST-CUT-NOT-THE-BOTTOM,RC-CNT-01-FIRST-CUT-NOT-THE-BOTTOM,XIAOHONGSHU,carousel,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-09,W2,W2-A-LONG,REPURPOSE,CNT-01-FIRST-CUT-NOT-THE-BOTTOM,RC-CNT-01-FIRST-CUT-NOT-THE-BOTTOM,WECHAT_LONGFORM_OR_PANDAAI,deep_article_or_explanation,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-08,W2,W2-B,PRIMARY,CNT-05-RECOVERY-CLOCK,RC-CNT-05-RECOVERY-CLOCK,DOUYIN_TIKTOK,short_video,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-10,W2,W2-B-XHS,REPURPOSE,CNT-05-RECOVERY-CLOCK,RC-CNT-05-RECOVERY-CLOCK,XIAOHONGSHU,carousel,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-11,W2,W2-B-LONG,REPURPOSE,CNT-05-RECOVERY-CLOCK,RC-CNT-05-RECOVERY-CLOCK,WECHAT_LONGFORM_OR_PANDAAI,deep_article_or_explanation,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-12,W3,W3-A,PRIMARY,CNT-03-GOLD-VS-EQUITIES,RC-CNT-03-GOLD-VS-EQUITIES,DOUYIN_TIKTOK,short_video,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-14,W3,W3-A-XHS,REPURPOSE,CNT-03-GOLD-VS-EQUITIES,RC-CNT-03-GOLD-VS-EQUITIES,XIAOHONGSHU,carousel,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-16,W3,W3-A-LONG,REPURPOSE,CNT-03-GOLD-VS-EQUITIES,RC-CNT-03-GOLD-VS-EQUITIES,WECHAT_LONGFORM_OR_PANDAAI,deep_article_or_explanation,STATIC_UNLESS_UPSTREAM_REBUILT,True,PLANNED_NOT_PUBLISHED
2026-10-15,W3,W3-B,PRIMARY,CNT-06-1987-MULTI-LEG,RC-CNT-06-1987-MULTI-LEG,DOUYIN_TIKTOK,short_video,STATIC_SOURCE_AUDIT,True,PLANNED_NOT_PUBLISHED
