question_id,question_en,answer_zh,evidence_layer
H-Q01,How quickly do mortgage rates move after each Fed phase anchor?,FIRST_HIKE 12M mortgage-rate change median +1.14pp; LAST_HIKE -1.01pp; PAUSE -1.01pp; FIRST_CUT -0.53pp.,FINANCING
H-Q02,Does mortgage-rate pressure peak before housing activity troughs?,"Paired episode share with cycle-window absolute mortgage peak before-or-same as activity trough: FIRST_HIKE 67%; LAST_HIKE 100%; PAUSE 100%; FIRST_CUT 100%. This [-12,+24] peak is a post-run anchor-reset diagnostic, not a causal lag estimate.",LAG_SEQUENCE
H-Q03,"Which activity series reacts earlier: permits, starts, or new-home sales?","FIRST_HIKE trough medians: PERMIT M13, HOUST M15, HSN1F M12. Compare phase by phase rather than imposing one universal ordering.",ACTIVITY
H-Q04,Does activity generally weaken before national house prices decline?,"Among positive 24M price-decline episodes, paired share with activity trough before-or-same as price trough: FIRST_HIKE 71%; LAST_HIKE 77%; PAUSE 75%; FIRST_CUT 57%. Ordering is descriptive and not uniform across episodes.",LAG_SEQUENCE
H-Q05,How long after FIRST_HIKE do housing activity and prices reach their worst point?,FIRST_HIKE activity median trough M13; price trough among positive-decline episodes M10.,FIRST_HIKE
H-Q06,What changes by LAST_HIKE?,"LAST_HIKE mortgage 12M change -1.01pp, activity median trough M12, house-price 12M median +3.5%, 24M +7.3%.",LAST_HIKE
H-Q07,What changes by PAUSE_START?,PAUSE mortgage 12M change -1.01pp; HOUST 12M -4.4%; PERMIT 12M -0.3%; house-price 12M +3.8%.,PAUSE_START
H-Q08,What changes by FIRST_CUT?,"FIRST_CUT mortgage 12M change -0.53pp; housing activity and house-price paths remain heterogeneous; house-price 12M median +5.2%, 24M +12.7%.",FIRST_CUT
H-Q09,Why can house prices remain positive while housing activity contracts?,"Prices are a slow stock/transaction outcome while permits, starts and new-home sales are flow/activity measures. Supply constraints, lock-in, composition and nominal-price stickiness can make activity weaken before national price indexes decline. 034 documents sequencing but does not identify each channel causally.",INTERPRETATION
H-Q10,Why can mortgage rates fall before house prices recover?,"Mortgage rates and Treasury yields reprice financial conditions quickly; housing transactions and prices adjust through search, inventory, refinancing/lock-in and construction pipelines. The historical lag panel measures timing differences only.",INTERPRETATION
H-Q11,How exceptional is 2006-09 relative to other episodes?,B05 is kept as an explicit case audit because it contains the largest canonical housing declines around LAST_HIKE/PAUSE/FIRST_CUT and should not disappear inside phase medians.,CASE_B05
H-Q12,What does the 2022-24 episode show about financing pressure versus price resilience?,"B07 is separately audited: the 2022 FIRST_HIKE and 2023 LAST_HIKE/PAUSE anchors can show large financing-rate pressure while the national price index remains much more resilient than B05. This is descriptive heterogeneity, not a forecast.",CASE_B07
H-Q13,What can be said about housing recovery clocks?,Canonical 015 recovery estimates remain phase- and support-dependent. LAST_HIKE has supported recovery evidence; FIRST_HIKE/PAUSE/FIRST_CUT recovery evidence is more limited. Recovery is only defined for episodes with positive declines.,RECOVERY
H-Q14,What cannot be inferred causally from these medians?,"The phase anchor is not an identified monetary-policy shock; mortgage rates, activity and prices react to common macro forces. Lag ordering is not a causal transmission coefficient.",BOUNDARY
H-Q15,What should PandaAI show for housing without making a house-price forecast?,"Show phase, mortgage/DGS10/spread changes, permits/starts/new-sales activity changes and trough months, canonical 12/24M house-price path, decline/recovery support, episode heterogeneity, freshness and explicit non-causal/not-forecast boundaries.",PANDAAI
