question_id,question_en,status,answer_zh,source_reference
Q01,Does FIRST_HIKE historically imply negative 12-month U.S. equity returns?,NOT_SUPPORTED_AS_SIMPLE_RULE,在核心支持样本中，FIRST_HIKE 后3个月 S&P 500 中位数为 -2.6%、Nasdaq 为 -6.2%，但12个月中位数转为 +8.0% 与 +6.5%。因此“开始加息=一年后美股必跌”不是一个受支持的简单规则。,"MASTER_ASSET_PHASE_MAP.csv: SP500/NASDAQ FIRST_HIKE ret_3m,ret_12m"
Q02,What changes between FIRST_HIKE and LAST_HIKE?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,从 FIRST_HIKE 到 LAST_HIKE，核心样本里美股12个月中位数由 S&P +8.0% / Nasdaq +6.5% 变为 +16.7% / +15.6%；同时12个月2Y/10Y收益率变化由 +122.7bp / +55.8bp 转为 -124.6bp / -59.9bp。描述上体现了“继续紧缩”与“紧缩尾声”的市场定价差异，但不是Fed行为的因果效应。,MASTER_ASSET_PHASE_MAP.csv + POLICY_RATE_CASH_CONTEXT.csv
Q03,"What does PAUSE_START look like for equities, rates, cash and commodities?",DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,PAUSE_START 后12个月，S&P 500 / Nasdaq 中位数为 +24.6% / +28.1%；2Y/10Y收益率中位变化为 -127.9bp / -107.5bp；机械现金12个月carry约 +5.9%；Gold +4.9%、WTI -4.6%。暂停阶段不是单一risk-on/risk-off标签。,MASTER_ASSET_PHASE_MAP.csv + POLICY_RATE_CASH_CONTEXT.csv
Q04,Why is FIRST_CUT not equivalent to a market bottom?,NOT_SUPPORTED_AS_SIMPLE_RULE,FIRST_CUT 后12个月 S&P 500 / Nasdaq 终点中位数仍为 +11.0% / +6.0%，但12个月MDD中位数扩大到 14.0% / 17.5%，两者低点月中位数均为第 8 个月，late-trough share 均约 90.5%。019/020也未验证出稳健事前见底规则。,MASTER_ASSET_PHASE_MAP.csv + 019/020 guardrails
Q05,Does easing begin only after Treasury yields fall?,NOT_SUPPORTED_AS_SIMPLE_RULE,市场收益率在政策阶段切换前后并不同步。LAST_HIKE 后12个月2Y/10Y收益率中位已下降 124.6bp / 59.9bp；PAUSE_START 后下降 127.9bp / 107.5bp。不能把第一次降息当作债券市场宽松定价的起点。,"POLICY_RATE_CASH_CONTEXT.csv: DGS2,DGS10"
Q06,Is cash carry already low by the pause?,NOT_SUPPORTED_AS_SIMPLE_RULE,不是简单如此。机械现金12个月carry中位在 LAST_HIKE 约 +5.9%，PAUSE_START 仍约 +5.9%，FIRST_CUT 才降至约 +4.5%。市场收益率下降与现金carry仍高可以同时存在。,POLICY_RATE_CASH_CONTEXT.csv: MECHANICAL_CASH_DFF
Q07,How do Gold and DXY differ across phases?,MIXED_BY_ASSET_OR_PHASE,12个月中位数：FIRST_HIKE Gold +3.1% / DXY +3.0%；LAST_HIKE -2.8% / -1.3%；PAUSE +4.9% / -1.3%；FIRST_CUT +4.1% / -1.3%。两者并不存在一个跨四阶段恒定反向关系。,"MASTER_ASSET_PHASE_MAP.csv: GOLD,DXY"
Q08,How does WTI differ from equities across phases?,MIXED_BY_ASSET_OR_PHASE,WTI 12个月中位数从 FIRST_HIKE +22.4%，到 LAST_HIKE +5.0%、PAUSE -4.6%、FIRST_CUT -16.9%；FIRST_CUT 时其MDD中位数为 22.2%、低点月中位数第 11 个月。能源路径与美股明显不同。,"MASTER_ASSET_PHASE_MAP.csv: WTI,SP500,NASDAQ"
Q09,What does the stress layer say around FIRST_CUT?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,FIRST_CUT 窗口内，Baa-10Y最大压力扩张中位约 +38bp、压力峰值月中位第 7 个月；VIX最大上升中位约 +8.5点、峰值第 8 个月；铜12个月最大压力中位约 20.0%、峰值第 9 个月。这些是事后窗口统计，不是实时见底信号。,"PHASE_STRESS_CONTEXT.csv: FIRST_CUT BAA10Y_SPREAD,VIX,COPPER"
Q10,Why must endpoint return and path risk be separated?,DESCRIPTIVELY_SUPPORTED_WITH_BOUNDARIES,FIRST_CUT 是最清楚的例子：S&P 500 12个月终点中位数 +11.0%，但MDD中位数 14.0%；Nasdaq 为 +6.0% 与 17.5%。终点为正并不意味着持有过程风险小。,MASTER_ASSET_PHASE_MAP.csv: FIRST_CUT endpoint and MDD
