figure_key,figure_family,linked_claim_ids,source_modules,source_files,data_scope,visual_grammar,primary_encodings,required_annotations,required_disclaimer,prohibited_visual_implications,freshness_rule,output_formats,priority,build_status,public_safe,causal_status,deployment_status
FIG-PHASE-DXY-FIRST_CUT,CORE_PHASE_EVIDENCE_CARD,CLM-PHASE-DXY-FIRST_CUT,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|CROSS-ASSET-EXPANSION-014|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,DXY x FIRST_CUT,four-metric evidence card with separated return/path-risk/time encodings,+12M endpoint as signed return bar; 12M MDD magnitude as separate path-risk bar; trough month as month marker; anchor-to-full-recovery as separate duration marker,asset=DXY; phase=FIRST_CUT; sample=10 mechanical legs / 7 broad episodes; support=SUPPORTED_DESCRIPTIVE; label MDD as magnitude and all timing values as historical medians,Historical descriptive distribution; realized Fed phase is not an identified policy shock; trough/recovery months are not forecasts or trading signals.,no shared unlabeled axis for endpoint and drawdown; no best/worst badge; no arrow implying Fed causality; no future-date projection from trough/recovery medians,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-PHASE-GOLD-FIRST_CUT,CORE_PHASE_EVIDENCE_CARD,CLM-PHASE-GOLD-FIRST_CUT,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,GOLD x FIRST_CUT,four-metric evidence card with separated return/path-risk/time encodings,+12M endpoint as signed return bar; 12M MDD magnitude as separate path-risk bar; trough month as month marker; anchor-to-full-recovery as separate duration marker,asset=GOLD; phase=FIRST_CUT; sample=10 mechanical legs / 7 broad episodes; support=PRIMARY_SUPPORTED; label MDD as magnitude and all timing values as historical medians,Historical descriptive distribution; realized Fed phase is not an identified policy shock; trough/recovery months are not forecasts or trading signals.,no shared unlabeled axis for endpoint and drawdown; no best/worst badge; no arrow implying Fed causality; no future-date projection from trough/recovery medians,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-PHASE-NASDAQ-FIRST_CUT,CORE_PHASE_EVIDENCE_CARD,CLM-PHASE-NASDAQ-FIRST_CUT,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,NASDAQ x FIRST_CUT,four-metric evidence card with separated return/path-risk/time encodings,+12M endpoint as signed return bar; 12M MDD magnitude as separate path-risk bar; trough month as month marker; anchor-to-full-recovery as separate duration marker,asset=NASDAQ; phase=FIRST_CUT; sample=10 mechanical legs / 7 broad episodes; support=PRIMARY_SUPPORTED; label MDD as magnitude and all timing values as historical medians,Historical descriptive distribution; realized Fed phase is not an identified policy shock; trough/recovery months are not forecasts or trading signals.,no shared unlabeled axis for endpoint and drawdown; no best/worst badge; no arrow implying Fed causality; no future-date projection from trough/recovery medians,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-PHASE-SP500-FIRST_CUT,CORE_PHASE_EVIDENCE_CARD,CLM-PHASE-SP500-FIRST_CUT,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,SP500 x FIRST_CUT,four-metric evidence card with separated return/path-risk/time encodings,+12M endpoint as signed return bar; 12M MDD magnitude as separate path-risk bar; trough month as month marker; anchor-to-full-recovery as separate duration marker,asset=SP500; phase=FIRST_CUT; sample=10 mechanical legs / 7 broad episodes; support=PRIMARY_SUPPORTED; label MDD as magnitude and all timing values as historical medians,Historical descriptive distribution; realized Fed phase is not an identified policy shock; trough/recovery months are not forecasts or trading signals.,no shared unlabeled axis for endpoint and drawdown; no best/worst badge; no arrow implying Fed causality; no future-date projection from trough/recovery medians,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-PHASE-WTI-FIRST_CUT,CORE_PHASE_EVIDENCE_CARD,CLM-PHASE-WTI-FIRST_CUT,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,WTI x FIRST_CUT,four-metric evidence card with separated return/path-risk/time encodings,+12M endpoint as signed return bar; 12M MDD magnitude as separate path-risk bar; trough month as month marker; anchor-to-full-recovery as separate duration marker,asset=WTI; phase=FIRST_CUT; sample=8 mechanical legs / 6 broad episodes; support=PRIMARY_SUPPORTED; label MDD as magnitude and all timing values as historical medians,Historical descriptive distribution; realized Fed phase is not an identified policy shock; trough/recovery months are not forecasts or trading signals.,no shared unlabeled axis for endpoint and drawdown; no best/worst badge; no arrow implying Fed causality; no future-date projection from trough/recovery medians,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-CASE-B04,HISTORICAL_CASE_TIMELINE,CLM-CASE-B04,FED-CYCLE-HISTORICAL-CASEBOOK-022|FED-CYCLE-PHASE-CLOCK-004,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,B04,dated policy timeline plus case-path evidence panel,policy anchors on chronological axis; FIRST_CUT marker; asset endpoint/MDD/trough evidence in aligned callouts,broad episode=B04; FIRST_CUT case metrics; preserve dated historical-case status; 022A context may be layered only with its claim-time class,Historical case chronology and path description only; not evidence that the policy action caused the asset path or that this case predicts the current cycle.,no closest-current-analog label; no causal policy-to-asset arrows; no omitted later-shock caveat,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-CASE-B05,HISTORICAL_CASE_TIMELINE,CLM-CASE-B05,FED-CYCLE-HISTORICAL-CASEBOOK-022|FED-CYCLE-PHASE-CLOCK-004,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,B05,dated policy timeline plus case-path evidence panel,policy anchors on chronological axis; FIRST_CUT marker; asset endpoint/MDD/trough evidence in aligned callouts,broad episode=B05; FIRST_CUT case metrics; preserve dated historical-case status; 022A context may be layered only with its claim-time class,Historical case chronology and path description only; not evidence that the policy action caused the asset path or that this case predicts the current cycle.,no closest-current-analog label; no causal policy-to-asset arrows; no omitted later-shock caveat,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-CASE-B06,HISTORICAL_CASE_TIMELINE,CLM-CASE-B06,FED-CYCLE-HISTORICAL-CASEBOOK-022|FED-CYCLE-PHASE-CLOCK-004,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,B06,dated policy timeline plus case-path evidence panel,policy anchors on chronological axis; FIRST_CUT marker; asset endpoint/MDD/trough evidence in aligned callouts,broad episode=B06; FIRST_CUT case metrics; preserve dated historical-case status; 022A context may be layered only with its claim-time class,Historical case chronology and path description only; not evidence that the policy action caused the asset path or that this case predicts the current cycle.,no closest-current-analog label; no causal policy-to-asset arrows; no omitted later-shock caveat,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-CASE-B07,HISTORICAL_CASE_TIMELINE,CLM-CASE-B07,FED-CYCLE-HISTORICAL-CASEBOOK-022|FED-CYCLE-PHASE-CLOCK-004,results/fed_cycle_historical_casebook_v1/CASEBOOK_ASSET_PHASE_METRICS.csv,B07,dated policy timeline plus case-path evidence panel,policy anchors on chronological axis; FIRST_CUT marker; asset endpoint/MDD/trough evidence in aligned callouts,broad episode=B07; FIRST_CUT case metrics; preserve dated historical-case status; 022A context may be layered only with its claim-time class,Historical case chronology and path description only; not evidence that the policy action caused the asset path or that this case predicts the current cycle.,no closest-current-analog label; no causal policy-to-asset arrows; no omitted later-shock caveat,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-GUARD-019,METHOD_GUARDRAIL,CLM-GUARD-019,FED-CYCLE-PRECUT-STATE-019,results/fed_cycle_precut_state_v1/FED_CYCLE_PRECUT_STATE_019_REPORT.md,FIRST_CUT predetermined timing-rule branch,binary-state support/contrast diagnostic,state support counts and median trough-month contrast; emphasize equal curve-inversion median trough month,show 8 mechanical / 6 broad episodes and unsupported/insufficient state variation labels,"Negative small-sample research result; not a timing model, OOS forecast or deployment rule.",no signal colors; no composite-score promotion; no curve/NFCI/growth buy-sell labels,STATIC_UNLESS_NEW_PREREGISTERED_EVIDENCE,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-GUARD-020,METHOD_GUARDRAIL,CLM-GUARD-020,FED-CYCLE-PRECUT-STRESS-LEVEL-020,results/fed_cycle_precut_stress_level_v1/FED_CYCLE_PRECUT_STRESS_LEVEL_020_REPORT.md,FIRST_CUT predetermined timing-rule branch,full-sample rho plus leave-one-out stability diagnostic,one row per frozen predictor with full-sample rho and LOO range/sign-stability flag,full sample must be visually primary; five-episode VIX-common curve diagnostic may only appear as sensitivity,"Negative small-sample research result; not a timing model, OOS forecast or deployment rule.",no cherry-picked five-episode curve headline; no signal colors; no fitted-score visual,STATIC_UNLESS_NEW_PREREGISTERED_EVIDENCE,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
FIG-RECOVERY-FIRSTCUT-VS-PAUSE,RECOVERY_SYNTHESIS,CLM-SYNTH-017-FIRSTCUT-RECOVERY,FED-CYCLE-TOTAL-RISK-CLOCK-017|FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021,results/fed_cycle_total_risk_clock_v1/SUPPORTED_TOTAL_CLOCK_SUMMARY.csv,DXY|GOLD|NASDAQ|SP500|WTI; PAUSE_START vs FIRST_CUT,paired PAUSE_START versus FIRST_CUT anchor-to-full-recovery duration comparison,one paired duration segment per supported asset; months on common duration axis,"five fully supported assets only; slower=3, equal=2, faster=0 must be shown as descriptive sample count",Historical supported-sample comparison; no causal interpretation and no asset winner.,no best/worst ranking; no causal label; no extrapolation to current cycle,STATIC_UNLESS_UPSTREAM_REBUILT,PNG_16_9|PNG_1_1|SVG_RESEARCH|JSON_SPEC,P0,SPEC_READY_NOT_RENDERED,True,NONE,NOT_DEPLOYABLE
