claim_id,claim_family,claim_status,title_short,canonical_wording,asset,phase,broad_episode_id,metric_payload,sample_descriptor,support_status,evidence_class,evidence_time,source_modules,source_files,official_source_urls,allowed_wording,prohibited_wording,freshness_rule,figure_key,content_tags,causal_status,oos_status,deployment_status
CLM-PHASE-DXY-FIRST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,DXY × FIRST_HIKE historical path,"Across the supported historical broad-episode sample, DXY around FIRST_HIKE had a broad-episode-weighted median +12M endpoint of +3.01%, a 12M maximum-drawdown magnitude of 8.24%, a median drawdown trough in month 8, and an anchor-to-full-recovery Kaplan-Meier median of 17 months.",DXY,FIRST_HIKE,,"{""ret_12m"":0.0300943318593793,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0824487330467255,""trough_month"":8.0,""anchor_to_full_recovery_months"":17.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,SUPPORTED_DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|CROSS-ASSET-EXPANSION-014|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-DXY-FIRST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-DXY-LAST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,DXY × LAST_HIKE historical path,"Across the supported historical broad-episode sample, DXY around LAST_HIKE had a broad-episode-weighted median +12M endpoint of -1.26%, a 12M maximum-drawdown magnitude of 5.18%, a median drawdown trough in month 8, and an anchor-to-full-recovery Kaplan-Meier median of 15 months.",DXY,LAST_HIKE,,"{""ret_12m"":-0.0125548033710372,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0518178888671605,""trough_month"":8.0,""anchor_to_full_recovery_months"":15.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,SUPPORTED_DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|CROSS-ASSET-EXPANSION-014|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-DXY-LAST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-DXY-PAUSE_START,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,DXY × PAUSE_START historical path,"Across the supported historical broad-episode sample, DXY around PAUSE_START had a broad-episode-weighted median +12M endpoint of -1.26%, a 12M maximum-drawdown magnitude of 6.30%, a median drawdown trough in month 11, and an anchor-to-full-recovery Kaplan-Meier median of 13 months.",DXY,PAUSE_START,,"{""ret_12m"":-0.0125548033710372,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0629968757297827,""trough_month"":11.0,""anchor_to_full_recovery_months"":13.0,""n_legs"":7,""n_broad_episodes"":7}",7 mechanical legs / 7 broad episodes,SUPPORTED_DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|CROSS-ASSET-EXPANSION-014|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-DXY-PAUSE_START,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-DXY-FIRST_CUT,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,DXY × FIRST_CUT historical path,"Across the supported historical broad-episode sample, DXY around FIRST_CUT had a broad-episode-weighted median +12M endpoint of -1.33%, a 12M maximum-drawdown magnitude of 5.18%, a median drawdown trough in month 8, and an anchor-to-full-recovery Kaplan-Meier median of 13 months.",DXY,FIRST_CUT,,"{""ret_12m"":-0.0133300562184216,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0518178888671605,""trough_month"":8.0,""anchor_to_full_recovery_months"":13.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,SUPPORTED_DESCRIPTIVE,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|CROSS-ASSET-EXPANSION-014|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-DXY-FIRST_CUT,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI|VIDEO_HOOK|SHORT_VIDEO|MYTH_VS_EVIDENCE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-GOLD-FIRST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,GOLD × FIRST_HIKE historical path,"Across the supported historical broad-episode sample, GOLD around FIRST_HIKE had a broad-episode-weighted median +12M endpoint of +3.07%, a 12M maximum-drawdown magnitude of 11.58%, a median drawdown trough in month 11, and an anchor-to-full-recovery Kaplan-Meier median of 30 months.",GOLD,FIRST_HIKE,,"{""ret_12m"":0.0307112068965518,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.1157556270096462,""trough_month"":11.0,""anchor_to_full_recovery_months"":30.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-GOLD-FIRST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-GOLD-LAST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,GOLD × LAST_HIKE historical path,"Across the supported historical broad-episode sample, GOLD around LAST_HIKE had a broad-episode-weighted median +12M endpoint of -2.81%, a 12M maximum-drawdown magnitude of 9.09%, a median drawdown trough in month 6, and an anchor-to-full-recovery Kaplan-Meier median of 11 months.",GOLD,LAST_HIKE,,"{""ret_12m"":-0.0281481481481481,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0909090909090909,""trough_month"":6.0,""anchor_to_full_recovery_months"":11.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-GOLD-LAST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-GOLD-PAUSE_START,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,GOLD × PAUSE_START historical path,"Across the supported historical broad-episode sample, GOLD around PAUSE_START had a broad-episode-weighted median +12M endpoint of +4.89%, a 12M maximum-drawdown magnitude of 7.57%, a median drawdown trough in month 9, and an anchor-to-full-recovery Kaplan-Meier median of 15 months.",GOLD,PAUSE_START,,"{""ret_12m"":0.0488958990536276,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0757097791798107,""trough_month"":9.0,""anchor_to_full_recovery_months"":15.0,""n_legs"":7,""n_broad_episodes"":7}",7 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-GOLD-PAUSE_START,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-GOLD-FIRST_CUT,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,GOLD × FIRST_CUT historical path,"Across the supported historical broad-episode sample, GOLD around FIRST_CUT had a broad-episode-weighted median +12M endpoint of +4.06%, a 12M maximum-drawdown magnitude of 5.43%, a median drawdown trough in month 5, and an anchor-to-full-recovery Kaplan-Meier median of 22 months.",GOLD,FIRST_CUT,,"{""ret_12m"":0.0405904059040589,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.054320987654321,""trough_month"":5.0,""anchor_to_full_recovery_months"":22.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-GOLD-FIRST_CUT,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI|VIDEO_HOOK|SHORT_VIDEO|MYTH_VS_EVIDENCE,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-NASDAQ-FIRST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,NASDAQ × FIRST_HIKE historical path,"Across the supported historical broad-episode sample, NASDAQ around FIRST_HIKE had a broad-episode-weighted median +12M endpoint of +6.50%, a 12M maximum-drawdown magnitude of 12.18%, a median drawdown trough in month 7, and an anchor-to-full-recovery Kaplan-Meier median of 14 months.",NASDAQ,FIRST_HIKE,,"{""ret_12m"":0.0650484365574801,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.1218495988446647,""trough_month"":7.0,""anchor_to_full_recovery_months"":14.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-NASDAQ-FIRST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
CLM-PHASE-NASDAQ-LAST_HIKE,CORE_PHASE_DISTRIBUTION,CANONICAL_PUBLIC_SAFE,NASDAQ × LAST_HIKE historical path,"Across the supported historical broad-episode sample, NASDAQ around LAST_HIKE had a broad-episode-weighted median +12M endpoint of +15.59%, a 12M maximum-drawdown magnitude of 4.00%, a median drawdown trough in month 8, and an anchor-to-full-recovery Kaplan-Meier median of 11 months.",NASDAQ,LAST_HIKE,,"{""ret_12m"":0.1559333752490312,""path_risk_metric"":""MDD_12M"",""path_risk_value"":0.0400497902086219,""trough_month"":8.0,""anchor_to_full_recovery_months"":11.0,""n_legs"":10,""n_broad_episodes"":7}",10 mechanical legs / 7 broad episodes,PRIMARY_SUPPORTED,DESCRIPTIVE,DESCRIPTIVE_PATH,FED-CYCLE-CROSS-ASSET-MASTER-SYNTHESIS-021|PHASE-CLOCK-004|FED-CYCLE-TOTAL-RISK-CLOCK-017,results/fed_cycle_cross_asset_master_synthesis_v1/MASTER_ASSET_PHASE_MAP.csv,N/A_REPO_DERIVED,Use as a historical descriptive distribution with sample/support stated or available; endpoint and path risk must remain distinct.,Do not say the Fed phase caused the return; do not call the trough month a forecast; do not convert the median into a trading/allocation instruction.,STATIC_UNLESS_UPSTREAM_REBUILT,FIG-PHASE-NASDAQ-LAST_HIKE,LONG_VIDEO|DEEP_ARTICLE|IMAGE_CARD|PANDAAI,NONE,NOT_A_FORECASTING_MODEL,NOT_DEPLOYABLE
