mechanism,status,repository_result,sample_support,interpretation,boundary
INFLATION_LEVEL,SUPPORTED_DESCRIPTIVE,HIGH median Gold 12M -11.8% vs LOW_OR_MODERATE +6.5%; diff -18.3%.,n=5 vs 5 FIRST_HIKE legs; LOO sign stable=True,Higher inflation level at FIRST_HIKE was associated with worse subsequent Gold in this sample; this contradicts a simple high-inflation-is-bullish rule.,"Event-level descriptive association; macro values are current-vintage/release-lag aware, not strict ALFRED PIT."
INFLATION_DIRECTION,SUPPORTED_DESCRIPTIVE,RISING median Gold 12M +3.1% vs FALLING_OR_FLAT -11.8%; diff +14.8%.,n=7 vs 3; LOO sign stable=True,Inflation direction and inflation level are different states: rising inflation was associated with better Gold than falling/flat even though HIGH inflation level was associated with worse Gold.,"Descriptive heterogeneity, not a causal inflation beta."
GROWTH_STATE,SUPPORTED_DESCRIPTIVE,STRONG median Gold 12M -3.5% vs WEAK +4.8%; diff -8.3%.,n=6 vs 4; LOO sign stable=True,Weak-growth FIRST_HIKE states were associated with somewhat stronger Gold outcomes than strong-growth states.,Small historical event set; no recession forecast.
ENERGY_DIRECTION,SUPPORTED_DESCRIPTIVE,RISING energy median Gold 12M +3.6% vs FALLING_OR_FLAT -2.6%; diff +6.2%.,n=5 vs 3; LOO sign stable=True,Rising energy was associated with better subsequent Gold in the supported event contrast.,Energy direction is not identified as the causal driver.
USD_DIRECTION_EVENT,SECONDARY_DIAGNOSTIC,USD RISING median Gold 12M +3.6% vs FALLING_OR_FLAT -11.8%; diff +15.4%.,n=5 vs 5; LOO sign stable=True,The event-level USD diagnostic is counterintuitive relative to the common inverse-USD story and is retained as evidence of confounding/era dependence rather than deleted.,USD bridge diagnostic; not promoted to primary mechanism evidence.
USD_6M_RET_MONTHLY,SECONDARY_DIAGNOSTIC,Within-cycle beta per 1SD = +0.0183 Gold forward-6M return; broad exact p=0.03125; LOO sign stable=True.,165 monthly rows / 10 cycles / 7 broad clusters; multiplicity=SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,USD remains a mechanism candidate but the positive sign does not survive secondary-family multiplicity control and should not be called a confirmed driver.,Hypothesis-generating secondary diagnostic; source-era restrictions reduce precision.
REAL_RATE_PROXY,SECONDARY_DIAGNOSTIC,Within-cycle beta per 1SD = +0.0180; broad exact p=0.26562; LOO sign stable=True.,165 rows / 10 cycles; multiplicity=SECONDARY_DIAGNOSTIC_NO_FDR_CLAIM,This public design does not establish the textbook inverse real-rate/Gold relation; the proxy estimate is positive and statistically weak in this secondary diagnostic.,"Proxy-based association, not a real-yield causal estimate."
DFII10_REAL_YIELD,INSUFFICIENT_SUPPORT,Within-cycle beta per 1SD = +0.0400; status=INSUFFICIENT_SUPPORT.,101 rows but only 3 cycles / 3 broad clusters.,Actual 10Y TIPS real-yield history is too short in this Fed-cycle design to support a stable Gold mechanism claim.,Do not infer absence of a global real-yield relationship; this design is under-supported.
NFCI_FINANCIAL_CONDITIONS,NO_STABLE_ASSOCIATION,Within-cycle beta per 1SD = -0.0067; broad exact p=0.59375; LOO sign stable=False.,165 rows / 10 cycles.,NFCI does not show a stable Gold forward-return association in the monthly secondary diagnostic.,No signal claim; financial stress may matter conditionally through other channels.
STRESS_TIMING_BAA,SUPPORTED_DESCRIPTIVE,Gold trough median M5 vs Baa stress peak M7; lead median -3m; near-2m share 14.3%.,10 legs / 7 broad episodes.,Gold often reaches its trough before credit-stress maxima rather than waiting for the stress peak.,Ex-post timing description; not a real-time Gold-entry rule.
STRESS_TIMING_VIX,SUPPORTED_DESCRIPTIVE,Gold trough median M4 vs VIX stress peak M8; lead median -4m; near-2m share 40.0%.,5 legs / 5 broad episodes.,Gold timing differs from U.S. equities: its trough can precede later VIX stress maxima by several months.,"Supports timing heterogeneity, not a safe-haven timing signal."
STRESS_TIMING_COPPER,SUPPORTED_DESCRIPTIVE,Gold trough median M4 vs copper stress peak M9; median lead +0m; near-2m share 60.0%.,5 legs / 5 broad episodes.,"Copper/Gold timing is closer in the supported sample than Baa/VIX timing, but still cannot be used as a deterministic signal.",Descriptive stress alignment only.
